date_id,full_date,year,month,day
1,NULL,NULL,NULL,NULL
2,2021-10-31,2021,10,31
3,NULL,NULL,NULL,NULL
4,2025-04-11,2025,4,11
5,NULL,NULL,NULL,NULL
6,2024-11-29,2024,11,29
7,2024-10-22,2024,10,22
8,2020-05-12,2020,5,12
9,2023-05-31,2023,5,31
10,2025-01-21,2025,1,21
11,2022-04-11,2022,4,11
12,2024-09-30,2024,9,30
13,2023-04-21,2023,4,21
14,2025-03-05,2025,3,5
15,2025-07-16,2025,7,16
16,2020-09-19,2020,9,19
17,2024-07-09,2024,7,9
18,2021-02-22,2021,2,22
19,2025-06-30,2025,6,30
20,2025-03-30,2025,3,30
21,2025-03-09,2025,3,9
22,2021-08-13,2021,8,13
23,2022-05-15,2022,5,15
24,2025-10-19,2025,10,19
25,2022-07-02,2022,7,2
26,2022-09-13,2022,9,13
27,2023-04-27,2023,4,27
28,2023-09-13,2023,9,13
29,2025-07-29,2025,7,29
30,2021-05-13,2021,5,13
31,2021-03-12,2021,3,12
32,2020-05-13,2020,5,13
33,2021-10-01,2021,10,1
34,2022-04-25,2022,4,25
35,2020-11-29,2020,11,29
36,2025-12-23,2025,12,23
37,2023-08-13,2023,8,13
38,2020-07-20,2020,7,20
39,2021-07-24,2021,7,24
40,2020-05-31,2020,5,31
41,2022-01-17,2022,1,17
42,2021-11-26,2021,11,26
43,2025-05-14,2025,5,14
44,2022-11-10,2022,11,10
45,2022-05-12,2022,5,12
46,2023-12-14,2023,12,14
47,2020-05-20,2020,5,20
48,2023-04-16,2023,4,16
49,2021-06-15,2021,6,15
50,2021-11-19,2021,11,19
51,2021-12-16,2021,12,16
52,2024-08-09,2024,8,9
53,2025-12-31,2025,12,31
54,2024-06-24,2024,6,24
55,2023-06-09,2023,6,9
56,2021-10-30,2021,10,30
57,2023-10-05,2023,10,5
58,2021-10-08,2021,10,8
59,2022-01-12,2022,1,12
60,2020-09-11,2020,9,11
61,2020-11-05,2020,11,5
62,2021-10-29,2021,10,29
63,2024-06-13,2024,6,13
64,2024-06-28,2024,6,28
65,2021-05-26,2021,5,26
66,2023-08-08,2023,8,8
67,2024-08-19,2024,8,19
68,2025-09-05,2025,9,5
69,2022-01-13,2022,1,13
70,2023-01-07,2023,1,7
71,2024-10-02,2024,10,2
72,2023-08-17,2023,8,17
73,2023-03-13,2023,3,13
74,2025-08-07,2025,8,7
75,2023-08-23,2023,8,23
76,2023-10-25,2023,10,25
77,2020-09-29,2020,9,29
78,2021-04-20,2021,4,20
79,2021-01-15,2021,1,15
80,2020-11-27,2020,11,27
81,2025-03-25,2025,3,25
82,2023-03-06,2023,3,6
83,2020-12-01,2020,12,1
84,2023-11-30,2023,11,30
85,2024-04-16,2024,4,16
86,2023-04-04,2023,4,4
87,2025-11-05,2025,11,5
88,2025-08-19,2025,8,19
89,2023-11-22,2023,11,22
90,2023-04-08,2023,4,8
91,2021-01-16,2021,1,16
92,2021-02-06,2021,2,6
93,2022-05-04,2022,5,4
94,2023-10-17,2023,10,17
95,2020-11-23,2020,11,23
96,2023-03-09,2023,3,9
97,2024-06-23,2024,6,23
98,2024-05-23,2024,5,23
99,2023-06-25,2023,6,25
100,2023-01-03,2023,1,3
101,2020-07-16,2020,7,16
102,2023-06-22,2023,6,22
103,2024-11-11,2024,11,11
104,2021-07-28,2021,7,28
105,2025-03-10,2025,3,10
106,2020-06-09,2020,6,9
107,2020-07-10,2020,7,10
108,2020-11-21,2020,11,21
109,2024-02-02,2024,2,2
110,2023-09-06,2023,9,6
111,2021-07-21,2021,7,21
112,2024-12-19,2024,12,19
113,2022-08-14,2022,8,14
114,2024-11-23,2024,11,23
115,2025-06-16,2025,6,16
116,2025-03-19,2025,3,19
117,2023-12-19,2023,12,19
118,2023-06-28,2023,6,28
119,2022-05-23,2022,5,23
120,2024-11-01,2024,11,1
121,2022-07-05,2022,7,5
122,2023-07-18,2023,7,18
123,2023-09-15,2023,9,15
124,2022-04-24,2022,4,24
125,2025-05-11,2025,5,11
126,2023-03-30,2023,3,30
127,2020-04-03,2020,4,3
128,2024-05-16,2024,5,16
129,2021-10-27,2021,10,27
130,2025-10-17,2025,10,17
131,2024-03-16,2024,3,16
132,2022-08-09,2022,8,9
133,2024-05-05,2024,5,5
134,2022-09-09,2022,9,9
135,2025-09-07,2025,9,7
136,2021-01-09,2021,1,9
137,2024-04-12,2024,4,12
138,2024-06-05,2024,6,5
139,2024-09-11,2024,9,11
140,2024-07-31,2024,7,31
141,2022-02-27,2022,2,27
142,2023-06-16,2023,6,16
143,2020-04-06,2020,4,6
144,2022-04-22,2022,4,22
