sale_id,product_id,Price,Quantity,total_amount
1,1,257.31,12.0,3087.72
2,709,233.44,12.0,2801.28
3,815,233.44,12.0,2801.28
4,2,257.31,21.0,5403.51
5,3,257.31,NULL,NULL
6,4,233.44,NULL,NULL
7,175,262.82,NULL,NULL
8,5,226.77,NULL,NULL
9,910,233.44,NULL,NULL
10,6,60.42,27.0,1631.34
11,532,60.42,27.0,1631.34
12,7,225.18,NULL,NULL
13,651,262.82,NULL,NULL
14,8,393.26,NULL,NULL
15,797,393.26,NULL,NULL
16,9,225.18,NULL,NULL
17,777,262.82,NULL,NULL
18,936,262.82,NULL,NULL
19,10,257.31,NULL,NULL
20,954,262.82,NULL,NULL
21,11,233.44,NULL,NULL
22,292,262.82,NULL,NULL
23,12,134.93,NULL,NULL
24,15,134.93,NULL,NULL
25,406,134.93,NULL,NULL
26,13,262.82,81.0,21288.42
27,14,233.44,42.0,9804.48
28,12,233.44,NULL,NULL
29,15,233.44,NULL,NULL
30,406,226.77,NULL,NULL
31,16,225.18,NULL,NULL
32,846,226.77,NULL,NULL
33,17,226.77,4.0,907.08
34,351,225.18,4.0,900.72
35,18,262.82,NULL,NULL
36,413,225.18,NULL,NULL
37,19,225.18,NULL,NULL
38,20,420.46,66.0,27750.36
39,285,420.46,66.0,27750.36
40,21,257.31,NULL,NULL
41,912,257.31,NULL,NULL
42,22,225.18,23.0,5179.14
43,525,225.18,23.0,5179.14
44,23,233.44,75.0,17508.0
45,502,225.18,75.0,16888.5
46,24,262.82,NULL,NULL
47,966,257.31,NULL,NULL
48,992,233.44,NULL,NULL
49,25,257.31,NULL,NULL
50,26,262.82,91.0,23916.62
51,27,233.44,78.0,18208.32
52,106,257.31,78.0,20070.18
53,534,225.18,78.0,17564.04
54,28,226.77,NULL,NULL
55,882,262.82,NULL,NULL
56,29,397.63,63.0,25050.69
57,927,397.63,63.0,25050.69
58,30,233.44,92.0,21476.48
59,940,226.77,92.0,20862.84
60,31,257.31,NULL,NULL
61,32,201.25,NULL,NULL
62,33,262.82,26.0,6833.32
63,146,233.44,26.0,6069.44
64,307,226.77,26.0,5896.02
65,906,257.31,26.0,6690.06
66,920,257.31,26.0,6690.06
67,34,257.31,76.0,19555.56
68,900,233.44,76.0,17741.44
69,35,251.03,NULL,NULL
70,274,251.03,NULL,NULL
71,596,251.03,NULL,NULL
72,36,225.18,NULL,NULL
73,981,226.77,NULL,NULL
74,37,262.82,NULL,NULL
75,179,262.82,NULL,NULL
76,247,262.82,NULL,NULL
77,38,257.31,NULL,NULL
78,39,233.44,NULL,NULL
79,40,225.18,83.0,18689.94
80,726,233.44,83.0,19375.52
81,41,257.31,NULL,NULL
82,42,262.82,NULL,NULL
83,43,262.82,NULL,NULL
84,44,257.31,13.0,3345.03
85,206,262.82,13.0,3416.66
86,45,262.82,NULL,NULL
87,46,257.31,NULL,NULL
88,145,257.31,NULL,NULL
89,47,385.68,NULL,NULL
90,48,225.18,NULL,NULL
91,118,226.77,NULL,NULL
92,620,225.18,NULL,NULL
93,49,226.77,NULL,NULL
94,293,226.77,NULL,NULL
95,570,262.82,NULL,NULL
96,50,262.82,NULL,NULL
97,401,233.44,NULL,NULL
98,51,226.77,NULL,NULL
99,52,233.44,NULL,NULL
100,144,257.31,NULL,NULL
101,400,262.82,NULL,NULL
102,668,225.18,NULL,NULL
103,921,225.18,NULL,NULL
104,53,226.77,NULL,NULL
105,199,262.82,NULL,NULL
106,355,262.82,NULL,NULL
107,54,225.18,69.0,15537.42
108,829,233.44,69.0,16107.36
109,55,233.44,NULL,NULL
110,56,233.44,80.0,18675.2
111,101,257.31,80.0,20584.8
112,169,226.77,80.0,18141.6
113,57,233.44,NULL,NULL
114,252,233.44,NULL,NULL
115,523,262.82,NULL,NULL
116,58,225.18,50.0,11259.0
117,59,233.44,NULL,NULL
118,60,226.77,45.0,10204.65
119,61,226.77,48.0,10884.96
120,62,225.18,NULL,NULL
121,63,226.77,40.0,9070.8
122,64,233.44,NULL,NULL
123,897,225.18,NULL,NULL
124,65,428.48,88.0,37706.24
125,814,428.48,88.0,37706.24
126,986,428.48,88.0,37706.24
127,66,257.31,NULL,NULL
128,215,257.31,NULL,NULL
129,622,233.44,NULL,NULL
130,67,59.31,NULL,NULL
131,521,59.31,NULL,NULL
132,68,257.31,94.0,24187.14
133,211,226.77,94.0,21316.38
134,749,225.18,94.0,21166.92
135,69,226.77,69.0,15647.13
136,70,262.82,NULL,NULL
137,877,226.77,NULL,NULL
138,71,257.31,NULL,NULL
139,72,257.31,NULL,NULL
140,73,225.18,NULL,NULL
141,705,233.44,NULL,NULL
142,74,339.45,NULL,NULL
143,445,339.45,NULL,NULL
144,75,226.77,84.0,19048.68
145,349,262.82,84.0,22076.88
146,885,257.31,84.0,21614.04
147,76,225.18,NULL,NULL
148,916,226.77,NULL,NULL
149,77,296.43,31.0,9189.33
150,78,225.18,NULL,NULL
151,385,233.44,NULL,NULL
152,643,262.82,NULL,NULL
153,79,226.77,NULL,NULL
154,485,262.82,NULL,NULL
155,80,262.82,NULL,NULL
156,81,225.18,60.0,13510.8
157,316,262.82,60.0,15769.2
158,82,226.77,NULL,NULL
159,83,483.11,93.0,44929.23
160,84,225.18,2.0,450.36
161,449,225.18,2.0,450.36
162,612,262.82,2.0,525.64
163,85,226.77,NULL,NULL
164,86,233.44,NULL,NULL
165,87,262.82,89.0,23390.98
166,88,351.48,NULL,NULL
167,89,233.44,NULL,NULL
168,289,233.44,NULL,NULL
169,322,262.82,NULL,NULL
170,90,233.44,67.0,15640.48
171,91,233.44,NULL,NULL
172,160,257.31,NULL,NULL
173,994,226.77,NULL,NULL
174,92,188.09,NULL,NULL
175,98,188.09,NULL,NULL
176,676,188.09,NULL,NULL
177,93,120.48,10.0,1204.8
178,94,226.77,86.0,19502.22
179,95,225.18,47.0,10583.46
180,96,406.22,NULL,NULL
181,97,257.31,NULL,NULL
182,524,257.31,NULL,NULL
183,92,225.18,55.0,12384.9
184,98,226.77,55.0,12472.35
185,676,226.77,55.0,12472.35
186,99,233.44,NULL,NULL
187,100,225.18,16.0,3602.88
188,56,233.44,60.0,14006.4
189,101,257.31,60.0,15438.6
190,169,226.77,60.0,13606.2
191,102,226.77,NULL,NULL
192,103,233.44,50.0,11672.0
193,559,226.77,50.0,11338.5
194,104,296.01,72.0,21312.72
195,295,296.01,72.0,21312.72
196,105,225.18,NULL,NULL
197,193,226.77,NULL,NULL
198,290,262.82,NULL,NULL
199,473,257.31,NULL,NULL
200,27,233.44,NULL,NULL
201,106,257.31,NULL,NULL
202,534,225.18,NULL,NULL
203,107,233.44,NULL,NULL
204,108,262.82,NULL,NULL
205,901,233.44,NULL,NULL
206,109,233.44,NULL,NULL
207,762,226.77,NULL,NULL
208,110,388.34,83.0,32232.22
209,934,388.34,83.0,32232.22
210,111,262.82,12.0,3153.84
211,112,13.64,NULL,NULL
212,113,233.44,NULL,NULL
213,183,233.44,NULL,NULL
214,530,257.31,NULL,NULL
215,835,233.44,NULL,NULL
216,114,225.18,NULL,NULL
217,361,257.31,NULL,NULL
218,115,226.77,NULL,NULL
219,116,257.31,NULL,NULL
220,457,233.44,NULL,NULL
221,117,226.77,NULL,NULL
222,568,225.18,NULL,NULL
223,864,225.18,NULL,NULL
224,48,225.18,NULL,NULL
225,118,226.77,NULL,NULL
226,620,225.18,NULL,NULL
227,119,226.77,70.0,15873.9
228,120,262.82,NULL,NULL
229,121,262.82,NULL,NULL
230,433,233.44,NULL,NULL
231,601,226.77,NULL,NULL
232,122,257.31,26.0,6690.06
233,123,233.44,NULL,NULL
234,982,257.31,NULL,NULL
235,124,257.31,82.0,21099.42
236,125,262.82,NULL,NULL
