}{sale_id,product_id,category_id,supplier_id,date_id,Quantity,Price,total_amount
1,1,1,1,1,12,257.31,3087.72
1,1,1,1,4,12,257.31,3087.72
2,709,2,5,1,12,233.44,2801.28
2,709,2,5,4,12,233.44,2801.28
3,815,2,1,1,12,233.44,2801.28
3,815,2,1,4,12,233.44,2801.28
4,2,1,2,2,21,257.31,5403.51
5,3,1,1,3,0,257.31,0.0
6,4,2,2,1,0,233.44,0.0
6,4,2,2,4,0,233.44,0.0
7,175,5,2,1,0,262.82,0.0
7,175,5,2,4,0,262.82,0.0
8,5,3,1,1,0,226.77,0.0
8,5,3,1,4,0,226.77,0.0
9,910,2,1,1,0,233.44,0.0
9,910,2,1,4,0,233.44,0.0
10,6,3,,5,27,60.42,1631.34
11,532,2,4,1,27,60.42,1631.34
11,532,2,4,4,27,60.42,1631.34
12,7,4,1,1,0,225.18,0.0
12,7,4,1,4,0,225.18,0.0
13,651,5,4,212,0,262.82,0.0
14,8,2,2,1,0,393.26,0.0
14,8,2,2,4,0,393.26,0.0
15,797,3,,268,0,393.26,0.0
16,9,4,4,1,0,225.18,0.0
16,9,4,4,4,0,225.18,0.0
17,777,5,2,259,0,262.82,0.0
18,936,5,,1,0,262.82,0.0
18,936,5,,4,0,262.82,0.0
19,10,1,5,6,0,257.31,0.0
20,954,5,1,1,0,262.82,0.0
20,954,5,1,4,0,262.82,0.0
21,11,2,,1,0,233.44,0.0
21,11,2,,4,0,233.44,0.0
22,292,5,5,95,0,262.82,0.0
23,12,2,,7,0,134.93,0.0
24,15,2,1,1,0,134.93,0.0
24,15,2,1,4,0,134.93,0.0
25,406,3,5,1,0,134.93,0.0
25,406,3,5,4,0,134.93,0.0
26,13,5,5,8,81,262.82,21288.42
27,14,2,2,1,42,233.44,9804.48
27,14,2,2,4,42,233.44,9804.48
28,12,2,,7,0,233.44,0.0
29,15,2,1,1,0,233.44,0.0
29,15,2,1,4,0,233.44,0.0
30,406,3,5,1,0,226.77,0.0
30,406,3,5,4,0,226.77,0.0
31,16,4,1,9,0,225.18,0.0
32,846,3,2,1,0,226.77,0.0
32,846,3,2,4,0,226.77,0.0
33,17,3,,10,4,226.77,907.08
34,351,4,4,1,4,225.18,900.72
34,351,4,4,4,4,225.18,900.72
35,18,5,5,11,0,262.82,0.0
36,413,4,5,1,0,225.18,0.0
36,413,4,5,4,0,225.18,0.0
37,19,4,1,1,0,225.18,0.0
37,19,4,1,4,0,225.18,0.0
38,20,3,,1,66,420.46,27750.36
38,20,3,,4,66,420.46,27750.36
39,285,1,4,1,66,420.46,27750.36
39,285,1,4,4,66,420.46,27750.36
40,21,1,5,1,0,257.31,0.0
40,21,1,5,4,0,257.31,0.0
41,912,1,,303,0,257.31,0.0
42,22,4,1,1,23,225.18,5179.14
42,22,4,1,4,23,225.18,5179.14
43,525,4,1,1,23,225.18,5179.14
43,525,4,1,4,23,225.18,5179.14
44,23,2,4,1,75,233.44,17508.0
44,23,2,4,4,75,233.44,17508.0
45,502,4,4,163,75,225.18,16888.5
46,24,5,4,1,0,262.82,0.0
46,24,5,4,4,0,262.82,0.0
47,966,1,5,325,0,257.31,0.0
48,992,2,4,1,0,233.44,0.0
48,992,2,4,4,0,233.44,0.0
49,25,1,,12,0,257.31,0.0
50,26,5,1,13,91,262.82,23916.62
51,27,2,1,1,78,233.44,18208.32
51,27,2,1,4,78,233.44,18208.32
52,106,1,5,43,78,257.31,20070.18
53,534,4,1,1,78,225.18,17564.04
53,534,4,1,4,78,225.18,17564.04
54,28,3,4,1,0,226.77,0.0
54,28,3,4,4,0,226.77,0.0
55,882,5,,293,0,262.82,0.0
56,29,4,1,14,63,397.63,25050.69
57,927,4,4,1,63,397.63,25050.69
57,927,4,4,4,63,397.63,25050.69
58,30,2,,1,92,233.44,21476.48
58,30,2,,4,92,233.44,21476.48
59,940,3,1,304,92,226.77,20862.84
60,31,1,1,1,0,257.31,0.0
60,31,1,1,4,0,257.31,0.0
61,32,3,5,15,0,201.25,0.0
62,33,5,4,1,26,262.82,6833.32
62,33,5,4,4,26,262.82,6833.32
63,146,2,1,1,26,233.44,6069.44
63,146,2,1,4,26,233.44,6069.44
64,307,3,4,1,26,226.77,5896.02
64,307,3,4,4,26,226.77,5896.02
65,906,1,2,1,26,257.31,6690.06
65,906,1,2,4,26,257.31,6690.06
66,920,1,4,1,26,257.31,6690.06
66,920,1,4,4,26,257.31,6690.06
67,34,1,4,16,76,257.31,19555.56
68,900,2,4,1,76,233.44,17741.44
68,900,2,4,4,76,233.44,17741.44
69,35,2,1,17,0,251.03,0.0
70,274,5,1,1,0,251.03,0.0
70,274,5,1,4,0,251.03,0.0
71,596,4,5,1,0,251.03,0.0
71,596,4,5,4,0,251.03,0.0
72,36,4,2,18,0,225.18,0.0
73,981,3,,1,0,226.77,0.0
73,981,3,,4,0,226.77,0.0
74,37,5,4,19,0,262.82,0.0
75,179,5,1,1,0,262.82,0.0
75,179,5,1,4,0,262.82,0.0
76,247,5,4,1,0,262.82,0.0
76,247,5,4,4,0,262.82,0.0
77,38,1,2,1,0,257.31,0.0
77,38,1,2,4,0,257.31,0.0
78,39,2,5,1,0,233.44,0.0
78,39,2,5,4,0,233.44,0.0
79,40,4,1,20,83,225.18,18689.94
80,726,2,5,1,83,233.44,19375.52
80,726,2,5,4,83,233.44,19375.52
81,41,1,5,1,0,257.31,0.0
81,41,1,5,4,0,257.31,0.0
82,42,5,1,1,0,262.82,0.0
82,42,5,1,4,0,262.82,0.0
83,43,5,4,1,0,262.82,0.0
83,43,5,4,4,0,262.82,0.0
84,44,1,2,21,13,257.31,3345.03
85,206,5,4,69,13,262.82,3416.66
86,45,5,2,1,0,262.82,0.0
86,45,5,2,4,0,262.82,0.0
87,46,1,2,1,0,257.31,0.0
87,46,1,2,4,0,257.31,0.0
88,145,1,2,55,0,257.31,0.0
89,47,2,,22,0,385.68,0.0
90,48,4,1,1,0,225.18,0.0
90,48,4,1,4,0,225.18,0.0
91,118,3,,48,0,226.77,0.0
92,620,4,1,1,0,225.18,0.0
92,620,4,1,4,0,225.18,0.0
93,49,3,2,1,0,226.77,0.0
93,49,3,2,4,0,226.77,0.0
94,293,3,,96,0,226.77,0.0
95,570,5,,1,0,262.82,0.0
95,570,5,,4,0,262.82,0.0
96,50,5,5,23,0,262.82,0.0
97,401,2,4,130,0,233.44,0.0
98,51,3,,1,0,226.77,0.0
98,51,3,,4,0,226.77,0.0
99,52,2,1,1,0,233.44,0.0
99,52,2,1,4,0,233.44,0.0
100,144,1,2,54,0,257.31,0.0
101,400,5,5,1,0,262.82,0.0
101,400,5,5,4,0,262.82,0.0
102,668,4,,221,0,225.18,0.0
103,921,4,5,1,0,225.18,0.0
103,921,4,5,4,0,225.18,0.0
104,53,3,4,1,0,226.77,0.0
104,53,3,4,4,0,226.77,0.0
105,199,5,,1,0,262.82,0.0
105,199,5,,4,0,262.82,0.0
106,355,5,4,1,0,262.82,0.0
106,355,5,4,4,0,262.82,0.0
107,54,4,5,24,69,225.18,15537.42
108,829,2,2,277,69,233.44,16107.36
109,55,2,1,1,0,233.44,0.0
109,55,2,1,4,0,233.44,0.0
110,56,2,4,1,80,233.44,18675.2
110,56,2,4,4,80,233.44,18675.2
111,101,1,,1,80,257.31,20584.8
111,101,1,,4,80,257.31,20584.8
112,169,3,2,1,80,226.77,18141.6
112,169,3,2,4,80,226.77,18141.6
113,57,2,,25,0,233.44,0.0
114,252,2,5,1,0,233.44,0.0
114,252,2,5,4,0,233.44,0.0
115,523,5,,171,0,262.82,0.0
116,58,4,,1,50,225.18,11259.0
116,58,4,,4,50,225.18,11259.0
117,59,2,2,1,0,233.44,0.0
117,59,2,2,4,0,233.44,0.0
118,60,3,4,26,45,226.77,10204.65
119,61,3,4,1,48,226.77,10884.96
119,61,3,4,4,48,226.77,10884.96
120,62,4,5,1,0,225.18,0.0
120,62,4,5,4,0,225.18,0.0
121,63,3,5,27,40,226.77,9070.8
122,64,2,5,28,0,233.44,0.0
123,897,4,1,1,0,225.18,0.0
123,897,4,1,4,0,225.18,0.0
124,65,1,4,1,88,428.48,37706.24
124,65,1,4,4,88,428.48,37706.24
125,814,1,1,1,88,428.48,37706.24
125,814,1,1,4,88,428.48,37706.24
126,986,4,1,1,88,428.48,37706.24
126,986,4,1,4,88,428.48,37706.24
127,66,1,4,1,0,257.31,0.0
127,66,1,4,4,0,257.31,0.0
128,215,1,1,1,0,257.31,0.0
128,215,1,1,4,0,257.31,0.0
129,622,2,,1,0,233.44,0.0
129,622,2,,4,0,233.44,0.0
130,67,2,2,29,0,59.31,0.0
131,521,1,2,170,0,59.31,0.0
132,68,1,4,30,94,257.31,24187.14
133,211,3,5,1,94,226.77,21316.38
133,211,3,5,4,94,226.77,21316.38
134,749,4,2,1,94,225.18,21166.92
134,749,4,2,4,94,225.18,21166.92
135,69,3,5,1,69,226.77,15647.13
135,69,3,5,4,69,226.77,15647.13
136,70,5,,1,0,262.82,0.0
136,70,5,,4,0,262.82,0.0
137,877,3,4,1,0,226.77,0.0
137,877,3,4,4,0,226.77,0.0
138,71,1,,1,0,257.31,0.0
138,71,1,,4,0,257.31,0.0
139,72,1,5,31,0,257.31,0.0
140,73,4,2,32,0,225.18,0.0
141,705,2,4,1,0,233.44,0.0
141,705,2,4,4,0,233.44,0.0
142,74,1,1,33,0,339.45,0.0
143,445,5,,1,0,339.45,0.0
143,445,5,,4,0,339.45,0.0
144,75,3,4,34,84,226.77,19048.68
145,349,5,4,1,84,262.82,22076.88
145,349,5,4,4,84,262.82,22076.88
146,885,1,5,294,84,257.31,21614.04
147,76,4,5,35,0,225.18,0.0
148,916,3,5,1,0,226.77,0.0
148,916,3,5,4,0,226.77,0.0
149,77,4,2,1,31,296.43,9189.33
149,77,4,2,4,31,296.43,9189.33
150,78,4,4,1,0,225.18,0.0
150,78,4,4,4,0,225.18,0.0
151,385,2,2,1,0,233.44,0.0
151,385,2,2,4,0,233.44,0.0
152,643,5,1,209,0,262.82,0.0
153,79,3,1,1,0,226.77,0.0
153,79,3,1,4,0,226.77,0.0
154,485,5,,1,0,262.82,0.0
154,485,5,,4,0,262.82,0.0
155,80,5,1,36,0,262.82,0.0
156,81,4,1,1,60,225.18,13510.8
156,81,4,1,4,60,225.18,13510.8
