student_id,major_id,date_id,Grade
1,1.0,,A+
83,1.0,,A+
2,,2.0,D
3,1.0,,D
4,3.0,,B
5,3.0,1.0,C
5,3.0,3.0,C
5,3.0,5.0,C
6,4.0,,F
7,1.0,,B
8,5.0,4.0,B
9,4.0,,D
10,6.0,,B
11,4.0,6.0,B
12,3.0,1.0,A
12,3.0,3.0,A
12,3.0,5.0,A
13,4.0,,Z
14,4.0,,A
15,6.0,,A+
16,6.0,,C
17,4.0,7.0,B
18,5.0,,A
19,3.0,,C
20,1.0,1.0,A
20,1.0,3.0,A
20,1.0,5.0,A
21,3.0,1.0,A
21,3.0,3.0,A
21,3.0,5.0,A
22,3.0,,D
23,1.0,,B
24,6.0,,Z
25,1.0,8.0,B
26,4.0,9.0,A
27,6.0,,F
28,,1.0,A
28,,3.0,A
28,,5.0,A
29,1.0,,Z
30,6.0,1.0,F
30,6.0,3.0,F
30,6.0,5.0,F
31,5.0,1.0,Z
31,5.0,3.0,Z
31,5.0,5.0,Z
32,6.0,,D
33,3.0,,C
34,1.0,,F
35,5.0,,B
36,5.0,1.0,A
36,5.0,3.0,A
36,5.0,5.0,A
37,1.0,1.0,D
37,1.0,3.0,D
37,1.0,5.0,D
38,3.0,,F
39,1.0,,C
40,6.0,,Z
41,6.0,,C
42,1.0,,F
43,4.0,1.0,D
43,4.0,3.0,D
43,4.0,5.0,D
44,3.0,10.0,A
45,5.0,,D
46,5.0,1.0,Z
46,5.0,3.0,Z
46,5.0,5.0,Z
47,5.0,1.0,C
47,5.0,3.0,C
47,5.0,5.0,C
48,4.0,,D
49,6.0,1.0,Z
49,6.0,3.0,Z
49,6.0,5.0,Z
50,6.0,11.0,D
51,3.0,,B
52,,,A
53,1.0,12.0,B
54,6.0,1.0,D
54,6.0,3.0,D
54,6.0,5.0,D
55,4.0,1.0,A+
55,4.0,3.0,A+
55,4.0,5.0,A+
56,3.0,1.0,F
56,3.0,3.0,F
56,3.0,5.0,F
57,1.0,13.0,F
58,,,B
59,4.0,1.0,D
59,4.0,3.0,D
59,4.0,5.0,D
60,6.0,,A
61,5.0,1.0,D
61,5.0,3.0,D
61,5.0,5.0,D
62,3.0,,C
63,6.0,1.0,B
63,6.0,3.0,B
63,6.0,5.0,B
64,1.0,1.0,Z
64,1.0,3.0,Z
64,1.0,5.0,Z
65,4.0,,D
66,3.0,14.0,B
67,,,B
68,4.0,15.0,Z
69,4.0,16.0,F
70,3.0,,A
71,6.0,,A+
72,,,B
73,,17.0,B
74,4.0,,A+
75,4.0,1.0,Z
75,4.0,3.0,Z
75,4.0,5.0,Z
76,,,A
77,1.0,,F
78,5.0,,D
79,5.0,,D
80,4.0,18.0,C
81,5.0,,C
82,4.0,,B
1,3.0,19.0,Z
83,3.0,19.0,Z
84,5.0,1.0,B
84,5.0,3.0,B
84,5.0,5.0,B
85,4.0,20.0,A+
86,3.0,,B
87,1.0,1.0,A+
87,1.0,3.0,A+
87,1.0,5.0,A+
88,4.0,21.0,C
89,3.0,1.0,Z
89,3.0,3.0,Z
89,3.0,5.0,Z
90,5.0,,Z
91,5.0,1.0,D
91,5.0,3.0,D
91,5.0,5.0,D
92,6.0,1.0,A
92,6.0,3.0,A
92,6.0,5.0,A
93,5.0,,B
94,4.0,,C
95,3.0,,F
96,5.0,22.0,B
97,5.0,23.0,A
98,,,C
99,1.0,24.0,F
100,4.0,,Z
101,5.0,25.0,C
102,6.0,,C
103,4.0,1.0,B
103,4.0,3.0,B
103,4.0,5.0,B
104,1.0,,D
105,3.0,,B
106,4.0,26.0,F
107,4.0,,Z
108,5.0,,F
109,3.0,,D
110,4.0,27.0,F
111,6.0,1.0,C
111,6.0,3.0,C
111,6.0,5.0,C
112,,28.0,Z
113,4.0,1.0,A+
113,4.0,3.0,A+
113,4.0,5.0,A+
114,4.0,,F
115,1.0,,B
116,6.0,1.0,F
116,6.0,3.0,F
116,6.0,5.0,F
117,1.0,29.0,A+
118,4.0,,A+
119,4.0,,A+
120,1.0,,Z
121,1.0,,A+
122,3.0,1.0,C
122,3.0,3.0,C
122,3.0,5.0,C
123,3.0,30.0,D
124,5.0,,F
125,,1.0,Z
125,,3.0,Z
125,,5.0,Z
126,1.0,,B
127,4.0,,A
128,6.0,31.0,C
129,,1.0,C
129,,3.0,C
129,,5.0,C
130,1.0,,A+
