ItemID,ItemName,Category,Quantity,Price,Supplier,DateAdded
1,Understand,Clothing,12.0,,SupplierB,2026-13-01
2,Water,Clothing,21.0,-20.5,SupplierC,2025-08-10
3,Usually,Clothing,,N/A,SupplierB,2025-05-18
4,Skin,Electronics,-5.0,,SupplierC,
5,Seat,Toys,,N/A,SupplierB,2026-13-01
6,Not,Toys,27.0,60.42,,2022-02-18
7,Price,Furniture,-5.0,,SupplierB,2026-13-01
8,Economic,Electronics,-5.0,393.26,SupplierC,
9,Ask,Furniture,,-20.5,SupplierD,
10,Perform,Clothing,,N/A,SupplierA,2024-07-15
11,Operation,Electronics,-5.0,-20.5,,
12,Choice,Electronics,-5.0,134.93,,2022-10-21
13,Age,Groceries,81.0,-20.5,SupplierA,2021-06-27
14,Stage,Electronics,42.0,-20.5,SupplierC,
15,Choice,Electronics,-5.0,,SupplierB,
16,Specific,Furniture,,-20.5,SupplierB,2021-04-08
17,Collection,Toys,4.0,-20.5,,2021-06-08
18,Population,Groceries,-5.0,N/A,SupplierA,2025-09-14
19,Person,Furniture,-5.0,N/A,SupplierB,
20,If,Toys,66.0,420.46,,
21,Suffer,Clothing,,N/A,SupplierA,2026-13-01
22,Increase,Furniture,23.0,N/A,SupplierB,2026-13-01
23,Exactly,Electronics,75.0,N/A,SupplierD,
24,Music,Groceries,,N/A,SupplierD,2026-13-01
25,High,Clothing,-5.0,-20.5,,2023-02-18
26,No,Groceries,91.0,-20.5,SupplierB,2024-03-30
27,Should,Electronics,78.0,,SupplierB,2026-13-01
28,Growth,Toys,-5.0,N/A,SupplierD,2026-13-01
29,Century,Furniture,63.0,397.63,SupplierB,2023-09-12
30,Inside,Electronics,92.0,,,
31,Movement,Clothing,-5.0,N/A,SupplierB,2026-13-01
32,Either,Toys,,201.25,SupplierA,2020-02-17
33,Watch,Groceries,26.0,N/A,SupplierD,
34,Lead,Clothing,76.0,N/A,SupplierD,2025-05-16
35,Plant,Electronics,,251.03,SupplierB,2024-02-14
36,Society,Furniture,-5.0,N/A,SupplierC,2023-01-18
37,Expect,Groceries,,N/A,SupplierD,2022-07-22
38,Act,Clothing,,N/A,SupplierC,2026-13-01
39,Commercial,Electronics,-5.0,N/A,SupplierA,2026-13-01
40,Section,Furniture,83.0,-20.5,SupplierB,2020-08-25
41,Eight,Clothing,,-20.5,SupplierA,2026-13-01
42,Weight,Groceries,-5.0,-20.5,SupplierB,
43,Tend,Groceries,-5.0,N/A,SupplierD,2026-13-01
44,Strategy,Clothing,13.0,-20.5,SupplierC,2024-05-01
45,Turn,Groceries,,,SupplierC,
46,Program,Clothing,-5.0,N/A,SupplierC,
47,Debate,Electronics,-5.0,385.68,,2023-07-29
48,Region,Furniture,,,SupplierB,
49,Customer,Toys,-5.0,N/A,SupplierC,2026-13-01
50,Young,Groceries,-5.0,,SupplierA,2021-12-10
51,Model,Toys,,,,
52,Form,Electronics,,,SupplierB,2026-13-01
53,Month,Toys,-5.0,N/A,SupplierD,
54,Add,Furniture,69.0,N/A,SupplierA,2023-03-10
55,Together,Electronics,-5.0,N/A,SupplierB,
56,Mouth,Electronics,80.0,-20.5,SupplierD,2026-13-01
57,Parent,Electronics,-5.0,N/A,,2021-10-28
58,Study,Furniture,50.0,,,2026-13-01
59,Fall,Electronics,-5.0,-20.5,SupplierC,
60,Actually,Toys,45.0,N/A,SupplierD,2025-04-14
61,Open,Toys,48.0,,SupplierD,2026-13-01
62,Drive,Furniture,,N/A,SupplierA,
63,Use,Toys,40.0,N/A,SupplierA,2020-03-02
64,Forget,Electronics,-5.0,-20.5,SupplierA,2025-06-14
65,Wait,Clothing,88.0,428.48,SupplierD,2026-13-01
66,Little,Clothing,,N/A,SupplierD,
67,Involve,Electronics,,59.31,SupplierC,2023-04-06
68,Teach,Clothing,94.0,-20.5,SupplierD,2020-03-08
69,Easy,Toys,69.0,,SupplierA,2026-13-01
70,College,Groceries,,N/A,,
71,Personal,Clothing,,-20.5,,
72,Skill,Clothing,,-20.5,SupplierA,2022-09-01
73,Close,Furniture,,-20.5,SupplierC,2020-01-12
74,Company,Clothing,,339.45,SupplierB,2025-04-04
75,Position,Toys,84.0,-20.5,SupplierD,2022-05-08
76,Happy,Furniture,,N/A,SupplierA,2025-05-02
77,Crime,Furniture,31.0,296.43,SupplierC,2026-13-01
78,Lawyer,Furniture,-5.0,-20.5,SupplierD,2026-13-01
79,Produce,Toys,,-20.5,SupplierB,
80,Of,Groceries,-5.0,-20.5,SupplierB,2024-09-16
81,Arrive,Furniture,60.0,-20.5,SupplierB,2026-13-01
82,Time,Toys,-5.0,-20.5,SupplierB,2026-13-01
83,Morning,Groceries,93.0,483.11,SupplierD,2022-11-18
84,Hospital,Furniture,2.0,,SupplierC,2022-04-03
85,Example,Toys,-5.0,,SupplierB,
86,Check,Electronics,-5.0,,SupplierD,2022-11-28
87,You,Groceries,89.0,N/A,SupplierA,2026-13-01
88,Safe,Groceries,,351.48,SupplierA,
89,Year,Electronics,-5.0,-20.5,,2021-09-21
90,When,Electronics,67.0,-20.5,SupplierA,2024-12-04
91,Soldier,Electronics,,N/A,SupplierA,
92,In,Furniture,-5.0,188.09,SupplierB,2026-13-01
93,Off,Electronics,10.0,120.48,SupplierD,2026-13-01
94,Four,Toys,86.0,N/A,,2026-13-01
95,Admit,Furniture,47.0,-20.5,SupplierC,
96,Room,Toys,,406.22,,
97,Central,Clothing,,-20.5,SupplierC,2026-13-01
98,In,Toys,55.0,N/A,SupplierC,2024-01-24
99,By,Electronics,,N/A,SupplierA,
100,Drop,Furniture,16.0,,SupplierB,2026-13-01
101,Mouth,Clothing,60.0,N/A,,2026-13-01
102,Dinner,Toys,-5.0,,SupplierA,
103,Anyone,Electronics,50.0,,SupplierA,
104,His,Toys,72.0,296.01,SupplierD,2026-13-01
105,Amount,Furniture,,-20.5,SupplierB,
106,Should,Clothing,,,SupplierA,2020-12-24
107,Page,Electronics,-5.0,-20.5,,2026-13-01
108,Change,Groceries,,N/A,SupplierA,2026-13-01
109,Attack,Electronics,-5.0,-20.5,SupplierA,
110,Big,Clothing,83.0,388.34,SupplierD,2021-03-10
111,Save,Groceries,12.0,-20.5,SupplierC,2026-13-01
112,Keep,Toys,-5.0,13.64,SupplierD,2026-13-01
113,Star,Electronics,-5.0,N/A,SupplierC,2022-09-14
114,Outside,Furniture,-5.0,N/A,SupplierD,2024-01-17
115,Chance,Toys,,,SupplierC,
116,They,Clothing,-5.0,N/A,SupplierC,
117,Full,Toys,,-20.5,SupplierD,2022-05-12
118,Region,Toys,,N/A,,2023-06-24
119,New,Toys,70.0,N/A,SupplierD,2026-13-01
120,Treat,Groceries,-5.0,-20.5,SupplierB,2020-04-13
121,Argue,Groceries,,-20.5,SupplierC,2026-13-01
122,Affect,Clothing,26.0,-20.5,,
123,Middle,Electronics,-5.0,-20.5,,
124,Air,Clothing,82.0,,SupplierB,
125,Born,Groceries,-5.0,,SupplierB,2026-13-01
126,Success,Furniture,,,,
127,Happen,Electronics,,182.6,SupplierB,
128,Drug,Toys,-5.0,N/A,SupplierC,
129,Power,Electronics,,160.0,SupplierD,2026-13-01
130,Later,Furniture,,N/A,SupplierC,
131,Head,Clothing,90.0,N/A,SupplierC,
132,Word,Groceries,-5.0,-20.5,SupplierC,2026-13-01
133,Answer,Electronics,,12.03,SupplierA,
134,Citizen,Electronics,-5.0,,SupplierD,
135,Green,Groceries,85.0,N/A,SupplierB,
136,Foreign,Furniture,-5.0,-20.5,,2022-05-25
137,Him,Toys,,N/A,SupplierC,2026-13-01
138,Pretty,Toys,,,SupplierC,2024-03-20
139,Provide,Toys,,,,2025-03-30
140,Approach,Toys,71.0,161.38,SupplierC,2024-11-26
141,Training,Toys,-5.0,N/A,SupplierD,
142,Traditional,Groceries,-5.0,-20.5,SupplierD,
143,Lose,Electronics,-5.0,102.88,SupplierC,
144,Form,Clothing,61.0,,SupplierC,2021-10-30
145,Program,Clothing,0.0,439.88,SupplierC,2023-05-06
146,Watch,Electronics,-5.0,124.16,SupplierB,2026-13-01
147,Several,Groceries,76.0,408.46,SupplierA,2022-03-24
148,Ten,Toys,86.0,102.78,SupplierC,
149,Case,Furniture,52.0,,SupplierB,2023-06-12
150,Follow,Furniture,,169.26,SupplierD,
151,Grow,Furniture,,N/A,SupplierB,
152,Place,Electronics,60.0,267.53,SupplierA,2020-07-26
153,Result,Toys,-5.0,,SupplierB,
154,Authority,Electronics,-5.0,N/A,,2026-13-01
155,Field,Furniture,,421.24,,2026-13-01
156,Beyond,Furniture,60.0,-20.5,SupplierA,2026-13-01
157,Focus,Furniture,-5.0,352.97,SupplierA,2026-13-01
158,Loss,Clothing,97.0,,SupplierC,
159,Out,Clothing,,,SupplierD,
