date_id,full_date,year,month,day
1,,,,
2,2025-08-10,2025,8,10
3,2025-05-18,2025,5,18
4,,,,
5,2022-02-18,2022,2,18
6,2024-07-15,2024,7,15
7,2022-10-21,2022,10,21
8,2021-06-27,2021,6,27
9,2021-04-08,2021,4,8
10,2021-06-08,2021,6,8
11,2025-09-14,2025,9,14
12,2023-02-18,2023,2,18
13,2024-03-30,2024,3,30
14,2023-09-12,2023,9,12
15,2020-02-17,2020,2,17
16,2025-05-16,2025,5,16
17,2024-02-14,2024,2,14
18,2023-01-18,2023,1,18
19,2022-07-22,2022,7,22
20,2020-08-25,2020,8,25
21,2024-05-01,2024,5,1
22,2023-07-29,2023,7,29
23,2021-12-10,2021,12,10
24,2023-03-10,2023,3,10
25,2021-10-28,2021,10,28
26,2025-04-14,2025,4,14
27,2020-03-02,2020,3,2
28,2025-06-14,2025,6,14
29,2023-04-06,2023,4,6
30,2020-03-08,2020,3,8
31,2022-09-01,2022,9,1
32,2020-01-12,2020,1,12
33,2025-04-04,2025,4,4
34,2022-05-08,2022,5,8
35,2025-05-02,2025,5,2
36,2024-09-16,2024,9,16
37,2022-11-18,2022,11,18
38,2022-04-03,2022,4,3
39,2022-11-28,2022,11,28
40,2021-09-21,2021,9,21
41,2024-12-04,2024,12,4
42,2024-01-24,2024,1,24
43,2020-12-24,2020,12,24
44,2021-03-10,2021,3,10
45,2022-09-14,2022,9,14
46,2024-01-17,2024,1,17
47,2022-05-12,2022,5,12
48,2023-06-24,2023,6,24
49,2020-04-13,2020,4,13
50,2022-05-25,2022,5,25
51,2024-03-20,2024,3,20
52,2025-03-30,2025,3,30
53,2024-11-26,2024,11,26
54,2021-10-30,2021,10,30
55,2023-05-06,2023,5,6
56,2022-03-24,2022,3,24
57,2023-06-12,2023,6,12
58,2020-07-26,2020,7,26
59,2025-02-15,2025,2,15
60,2023-01-06,2023,1,6
61,2025-12-21,2025,12,21
62,2020-07-03,2020,7,3
63,2022-02-06,2022,2,6
64,2020-02-15,2020,2,15
65,2023-09-08,2023,9,8
66,2020-04-10,2020,4,10
67,2023-12-12,2023,12,12
68,2024-07-25,2024,7,25
69,2021-10-14,2021,10,14
70,2025-06-13,2025,6,13
71,2024-06-27,2024,6,27
72,2025-07-09,2025,7,9
73,2020-03-31,2020,3,31
74,2022-07-31,2022,7,31
75,2025-07-14,2025,7,14
76,2020-02-19,2020,2,19
77,2025-04-28,2025,4,28
78,2022-04-16,2022,4,16
79,2023-08-28,2023,8,28
80,2021-04-17,2021,4,17
81,2024-09-28,2024,9,28
82,2024-02-24,2024,2,24
83,2022-04-11,2022,4,11
84,2020-09-20,2020,9,20
85,2023-11-05,2023,11,5
86,2020-01-26,2020,1,26
87,2022-04-25,2022,4,25
88,2020-12-17,2020,12,17
89,2021-12-30,2021,12,30
90,2024-10-17,2024,10,17
91,2024-11-30,2024,11,30
92,2025-01-28,2025,1,28
93,2024-01-19,2024,1,19
94,2023-12-20,2023,12,20
95,2024-05-25,2024,5,25
96,2023-12-03,2023,12,3
97,2024-02-02,2024,2,2
98,2021-03-31,2021,3,31
99,2025-11-26,2025,11,26
100,2023-01-29,2023,1,29
101,2022-01-26,2022,1,26
102,2021-10-05,2021,10,5
103,2024-09-30,2024,9,30
104,2024-11-07,2024,11,7
105,2024-03-27,2024,3,27
106,2024-11-23,2024,11,23
107,2023-04-07,2023,4,7
108,2022-01-29,2022,1,29
109,2026-01-03,2026,1,3
110,2023-12-25,2023,12,25
111,2022-08-24,2022,8,24
112,2025-09-12,2025,9,12
113,2020-01-19,2020,1,19
114,2020-02-22,2020,2,22
115,2021-02-18,2021,2,18
116,2023-05-31,2023,5,31
117,2024-06-05,2024,6,5
118,2025-08-15,2025,8,15
119,2024-07-18,2024,7,18
120,2020-04-17,2020,4,17
121,2021-10-04,2021,10,4
122,2021-02-05,2021,2,5
123,2020-10-27,2020,10,27
124,2025-03-13,2025,3,13
125,2023-09-16,2023,9,16
126,2021-03-07,2021,3,7
127,2024-10-03,2024,10,3
128,2024-06-28,2024,6,28
129,2022-03-31,2022,3,31
130,2022-09-20,2022,9,20
131,2023-03-26,2023,3,26
132,2021-03-19,2021,3,19
133,2020-10-16,2020,10,16
134,2022-11-30,2022,11,30
135,2024-04-19,2024,4,19
136,2024-04-17,2024,4,17
137,2025-07-03,2025,7,3
138,2023-01-25,2023,1,25
139,2023-01-16,2023,1,16
140,2023-09-26,2023,9,26
141,2025-10-03,2025,10,3
142,2021-06-29,2021,6,29
143,2023-04-03,2023,4,3
144,2025-06-17,2025,6,17
145,2025-05-01,2025,5,1
146,2024-11-17,2024,11,17
147,2025-02-23,2025,2,23
148,2025-02-03,2025,2,3
149,2024-08-25,2024,8,25
150,2025-09-10,2025,9,10
151,2025-01-14,2025,1,14
152,2023-01-15,2023,1,15
153,2020-12-23,2020,12,23
154,2021-06-15,2021,6,15
155,2025-12-02,2025,12,2
156,2025-12-22,2025,12,22
157,2022-07-07,2022,7,7
158,2024-08-26,2024,8,26
159,2021-04-26,2021,4,26
160,2023-01-17,2023,1,17
161,2023-09-09,2023,9,9
162,2020-11-06,2020,11,6
163,2022-02-23,2022,2,23
164,2022-08-01,2022,8,1
165,2025-10-15,2025,10,15
166,2024-12-01,2024,12,1
167,2025-08-30,2025,8,30
168,2020-02-18,2020,2,18
169,2024-08-06,2024,8,6
170,2025-12-24,2025,12,24
171,2022-08-17,2022,8,17
172,2020-06-20,2020,6,20
173,2021-11-10,2021,11,10
174,2022-11-22,2022,11,22
175,2020-09-05,2020,9,5
176,2023-06-14,2023,6,14
177,2020-03-21,2020,3,21
178,2021-03-29,2021,3,29
179,2022-04-23,2022,4,23
180,2023-09-10,2023,9,10
181,2022-01-24,2022,1,24
182,2024-12-29,2024,12,29
183,2023-12-13,2023,12,13
184,2025-11-27,2025,11,27
185,2023-05-19,2023,5,19
186,2020-02-09,2020,2,9
187,2020-08-30,2020,8,30
188,2025-08-22,2025,8,22
189,2020-08-06,2020,8,6
190,2021-05-03,2021,5,3
191,2021-04-01,2021,4,1
192,2025-06-15,2025,6,15
193,2024-12-13,2024,12,13
194,2021-12-13,2021,12,13
195,2021-12-22,2021,12,22
196,2022-05-26,2022,5,26
197,2023-12-22,2023,12,22
198,2025-04-13,2025,4,13
199,2021-04-10,2021,4,10
200,2024-09-20,2024,9,20
201,2021-10-03,2021,10,3
202,2022-09-18,2022,9,18
203,2024-03-31,2024,3,31
204,2026-01-04,2026,1,4
205,2025-02-12,2025,2,12
206,2023-12-08,2023,12,8
207,2021-08-15,2021,8,15
208,2025-11-22,2025,11,22
209,2026-01-13,2026,1,13
210,2020-03-01,2020,3,1
211,2020-04-06,2020,4,6
212,2024-07-10,2024,7,10
213,2024-11-03,2024,11,3
214,2023-11-09,2023,11,9
215,2022-10-27,2022,10,27
216,2020-12-12,2020,12,12
217,2021-09-06,2021,9,6
218,2021-10-25,2021,10,25
219,2023-11-04,2023,11,4
220,2020-08-12,2020,8,12
221,2025-01-01,2025,1,1
222,2023-12-10,2023,12,10
223,2021-02-15,2021,2,15
224,2024-09-26,2024,9,26
225,2024-05-23,2024,5,23
226,2022-07-03,2022,7,3
227,2024-11-10,2024,11,10
228,2023-01-03,2023,1,3
229,2022-11-16,2022,11,16
