sale_id,product_id,Price,Quantity
1,1,,12.0
2,709,,12.0
3,815,,12.0
4,2,-20.5,21.0
5,3,,
6,4,,-5.0
7,175,,-5.0
8,5,,
9,910,,
10,6,60.42,27.0
11,532,60.42,27.0
12,7,,-5.0
13,651,,-5.0
14,8,393.26,-5.0
15,797,393.26,-5.0
16,9,-20.5,
17,777,-20.5,
18,936,-20.5,
19,10,,
20,954,,
21,11,-20.5,-5.0
22,292,-20.5,-5.0
23,12,134.93,-5.0
24,15,134.93,-5.0
25,406,134.93,-5.0
26,13,-20.5,81.0
27,14,-20.5,42.0
28,12,,-5.0
29,15,,-5.0
30,406,,-5.0
31,16,-20.5,
32,846,-20.5,
33,17,-20.5,4.0
34,351,-20.5,4.0
35,18,,-5.0
36,413,,-5.0
37,19,,-5.0
38,20,420.46,66.0
39,285,420.46,66.0
40,21,,
41,912,,
42,22,,23.0
43,525,,23.0
44,23,,75.0
45,502,,75.0
46,24,,
47,966,,
48,992,,
49,25,-20.5,-5.0
50,26,-20.5,91.0
51,27,,78.0
52,106,,78.0
53,534,,78.0
54,28,,-5.0
55,882,,-5.0
56,29,397.63,63.0
57,927,397.63,63.0
58,30,,92.0
59,940,,92.0
60,31,,-5.0
61,32,201.25,
62,33,,26.0
63,146,,26.0
64,307,,26.0
65,906,,26.0
66,920,,26.0
67,34,,76.0
68,900,,76.0
69,35,251.03,
70,274,251.03,
71,596,251.03,
72,36,,-5.0
73,981,,-5.0
74,37,,
75,179,,
76,247,,
77,38,,
78,39,,-5.0
79,40,-20.5,83.0
80,726,-20.5,83.0
81,41,-20.5,
82,42,-20.5,-5.0
83,43,,-5.0
84,44,-20.5,13.0
85,206,-20.5,13.0
86,45,,
87,46,,-5.0
88,145,,-5.0
89,47,385.68,-5.0
90,48,,
91,118,,
92,620,,
93,49,,-5.0
94,293,,-5.0
95,570,,-5.0
96,50,,-5.0
97,401,,-5.0
98,51,,
99,52,,
100,144,,
101,400,,
102,668,,
103,921,,
104,53,,-5.0
105,199,,-5.0
106,355,,-5.0
107,54,,69.0
108,829,,69.0
109,55,,-5.0
110,56,-20.5,80.0
111,101,-20.5,80.0
112,169,-20.5,80.0
113,57,,-5.0
114,252,,-5.0
115,523,,-5.0
116,58,,50.0
117,59,-20.5,-5.0
118,60,,45.0
119,61,,48.0
120,62,,
121,63,,40.0
122,64,-20.5,-5.0
123,897,-20.5,-5.0
124,65,428.48,88.0
125,814,428.48,88.0
126,986,428.48,88.0
127,66,,
128,215,,
129,622,,
130,67,59.31,
131,521,59.31,
132,68,-20.5,94.0
133,211,-20.5,94.0
134,749,-20.5,94.0
135,69,,69.0
136,70,,
137,877,,
138,71,-20.5,
139,72,-20.5,
140,73,-20.5,
141,705,-20.5,
142,74,339.45,
143,445,339.45,
144,75,-20.5,84.0
145,349,-20.5,84.0
146,885,-20.5,84.0
147,76,,
148,916,,
149,77,296.43,31.0
150,78,-20.5,-5.0
151,385,-20.5,-5.0
152,643,-20.5,-5.0
153,79,-20.5,
154,485,-20.5,
155,80,-20.5,-5.0
156,81,-20.5,60.0
157,316,-20.5,60.0
158,82,-20.5,-5.0
159,83,483.11,93.0
160,84,,2.0
161,449,,2.0
162,612,,2.0
163,85,,-5.0
164,86,,-5.0
165,87,,89.0
166,88,351.48,
167,89,-20.5,-5.0
168,289,-20.5,-5.0
169,322,-20.5,-5.0
170,90,-20.5,67.0
171,91,,
172,160,,
173,994,,
174,92,188.09,-5.0
175,98,188.09,-5.0
176,676,188.09,-5.0
177,93,120.48,10.0
178,94,,86.0
179,95,-20.5,47.0
180,96,406.22,
181,97,-20.5,
182,524,-20.5,
183,92,,55.0
184,98,,55.0
185,676,,55.0
186,99,,
187,100,,16.0
188,56,,60.0
189,101,,60.0
190,169,,60.0
191,102,,-5.0
192,103,,50.0
193,559,,50.0
194,104,296.01,72.0
195,295,296.01,72.0
196,105,-20.5,
197,193,-20.5,
198,290,-20.5,
199,473,-20.5,
200,27,,
201,106,,
202,534,,
203,107,-20.5,-5.0
204,108,,
205,901,,
206,109,-20.5,-5.0
207,762,-20.5,-5.0
208,110,388.34,83.0
209,934,388.34,83.0
210,111,-20.5,12.0
211,112,13.64,-5.0
212,113,,-5.0
213,183,,-5.0
214,530,,-5.0
215,835,,-5.0
216,114,,-5.0
217,361,,-5.0
218,115,,
219,116,,-5.0
220,457,,-5.0
221,117,-20.5,
222,568,-20.5,
223,864,-20.5,
224,48,,
225,118,,
226,620,,
227,119,,70.0
228,120,-20.5,-5.0
229,121,-20.5,
230,433,-20.5,
231,601,-20.5,
232,122,-20.5,26.0
233,123,-20.5,-5.0
234,982,-20.5,-5.0
235,124,,82.0
236,125,,-5.0
237,799,,-5.0
238,917,,-5.0
239,126,,
240,127,182.6,
241,974,182.6,
242,128,,-5.0
243,372,,-5.0
244,129,160.0,
245,644,160.0,
246,130,,
247,871,,
248,131,,90.0
249,132,-20.5,-5.0
250,133,12.03,
251,272,12.03,
252,528,12.03,
253,134,,-5.0
254,546,,-5.0
255,135,,85.0
256,902,,85.0
257,136,-20.5,-5.0
258,137,,
259,724,,
260,138,,
261,447,,
262,681,,
263,139,,
264,650,,
265,964,,
266,140,161.38,71.0
267,301,161.38,71.0
268,141,,-5.0
269,993,,-5.0
270,142,-20.5,-5.0
271,725,-20.5,-5.0
272,742,-20.5,-5.0
